"filename", "language", "Rust", "RISC-V Assembly", "LinkerScript", "Makefile", "TOML", "Docker", "Markdown", "comment", "blank", "total"
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/Dockerfile", "Docker", 0, 0, 0, 0, 0, 31, 0, 5, 4, 40
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/Makefile", "Makefile", 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs-fuse/Cargo.toml", "TOML", 0, 0, 0, 0, 9, 0, 0, 1, 2, 12
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs-fuse/src/main.rs", "Rust", 151, 0, 0, 0, 0, 0, 0, 7, 10, 168
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/Cargo.toml", "TOML", 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/src/bitmap.rs", "Rust", 63, 0, 0, 0, 0, 0, 0, 2, 8, 73
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/src/block_cache.rs", "Rust", 109, 0, 0, 0, 0, 0, 0, 4, 15, 128
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/src/block_dev.rs", "Rust", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/src/efs.rs", "Rust", 139, 0, 0, 0, 0, 0, 0, 7, 11, 157
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/src/layout.rs", "Rust", 400, 0, 0, 0, 0, 0, 0, 36, 12, 448
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/src/lib.rs", "Rust", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/easy-fs/src/vfs.rs", "Rust", 177, 0, 0, 0, 0, 0, 0, 11, 13, 201
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/Cargo.toml", "TOML", 0, 0, 0, 0, 20, 0, 0, 1, 3, 24
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/Makefile", "Makefile", 0, 0, 0, 76, 0, 0, 0, 6, 22, 104
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/build.rs", "Rust", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/config.rs", "Rust", 34, 0, 0, 0, 0, 0, 0, 2, 6, 42
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/console.rs", "Rust", 26, 0, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/drivers/block/mod.rs", "Rust", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/drivers/block/sdcard.rs", "Rust", 494, 0, 0, 0, 0, 0, 0, 218, 41, 753
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/drivers/block/virtio_blk.rs", "Rust", 66, 0, 0, 0, 0, 0, 0, 0, 11, 77
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/drivers/mod.rs", "Rust", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/entry.asm", "RISC-V Assembly", 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/fs/inode.rs", "Rust", 143, 0, 0, 0, 0, 0, 0, 7, 9, 159
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/fs/mod.rs", "Rust", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/fs/pipe.rs", "Rust", 156, 0, 0, 0, 0, 0, 0, 3, 8, 167
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/fs/stdio.rs", "Rust", 42, 0, 0, 0, 0, 0, 0, 1, 4, 47
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/lang_items.rs", "Rust", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/linker-k210.ld", "LinkerScript", 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/linker-qemu.ld", "LinkerScript", 0, 0, 46, 0, 0, 0, 0, 0, 7, 53
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/main.rs", "Rust", 46, 0, 0, 0, 0, 0, 0, 0, 6, 52
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/mm/address.rs", "Rust", 191, 0, 0, 0, 0, 0, 0, 5, 13, 209
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/mm/frame_allocator.rs", "Rust", 117, 0, 0, 0, 0, 0, 0, 3, 13, 133
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/mm/heap_allocator.rs", "Rust", 40, 0, 0, 0, 0, 0, 0, 0, 6, 46
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/mm/memory_set.rs", "Rust", 330, 0, 0, 0, 0, 0, 0, 18, 10, 358
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/mm/mod.rs", "Rust", 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/mm/page_table.rs", "Rust", 238, 0, 0, 0, 0, 0, 0, 3, 14, 255
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/sbi.rs", "Rust", 36, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/syscall/fs.rs", "Rust", 103, 0, 0, 0, 0, 0, 0, 2, 6, 111
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/syscall/mod.rs", "Rust", 35, 0, 0, 0, 0, 0, 0, 0, 5, 40
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/syscall/process.rs", "Rust", 91, 0, 0, 0, 0, 0, 0, 16, 8, 115
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/context.rs", "Rust", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/manager.rs", "Rust", 28, 0, 0, 0, 0, 0, 0, 1, 5, 34
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/mod.rs", "Rust", 61, 0, 0, 0, 0, 0, 0, 17, 11, 89
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/pid.rs", "Rust", 93, 0, 0, 0, 0, 0, 0, 2, 10, 105
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/processor.rs", "Rust", 82, 0, 0, 0, 0, 0, 0, 2, 12, 96
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/switch.S", "RISC-V Assembly", 0, 27, 0, 0, 0, 0, 0, 9, 2, 38
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/switch.rs", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/task/task.rs", "Rust", 195, 0, 0, 0, 0, 0, 0, 28, 7, 230
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/timer.rs", "Rust", 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/trap/context.rs", "Rust", 34, 0, 0, 0, 0, 0, 0, 1, 3, 38
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/trap/mod.rs", "Rust", 101, 0, 0, 0, 0, 0, 0, 6, 11, 118
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/os/src/trap/trap.S", "RISC-V Assembly", 0, 50, 0, 0, 0, 0, 0, 18, 2, 70
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/Cargo.toml", "TOML", 0, 0, 0, 0, 8, 0, 0, 1, 2, 11
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/Makefile", "Makefile", 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/src/bin/cat.rs", "Rust", 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/src/bin/cmdline_args.rs", "Rust", 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/src/bin/exit.rs", "Rust", 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/src/bin/fantastic_text.rs", "Rust", 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/src/bin/filetest_simple.rs", "Rust", 33, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/Users/zhaiqiming/i_can_own_os/rCore-Tutorial-v3/user/src/bin/forktest.rs", "Rust", 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
